,id,neighborhood,latitude,longitude,price,size_in_sqft,no_of_bedrooms,no_of_bathrooms,quality,maid_room,unfurnished,balcony,barbecue_area,built_in_wardrobes,central_ac,childrens_play_area,childrens_pool,concierge,covered_parking,kitchen_appliances,lobby_in_building,maid_service,networked,pets_allowed,private_garden,private_gym,private_jacuzzi,private_pool,security,shared_gym,shared_pool,shared_spa,study,vastu_compliant,view_of_landmark,view_of_water,walk_in_closet
277,7490840,Palm Jumeirah,25.115747,55.142615,1890000,1587,1,1,Medium,False,True,True,False,True,True,False,False,True,True,True,False,False,False,False,False,False,False,False,True,True,True,False,False,False,True,True,False
1758,7695422,Business Bay,25.177373,55.272707,1150000,943,1,2,Medium,False,False,True,False,True,True,True,False,False,True,False,True,False,False,False,False,False,False,False,True,True,True,False,False,False,True,False,False
358,7516456,Jumeirah Beach Residence,25.078122,55.134763,2500000,1817,2,3,Medium,False,True,True,False,False,True,True,True,True,True,False,True,False,False,False,False,False,False,False,True,True,True,False,False,False,True,True,False
1546,7679416,Palm Jumeirah,25.109267000000003,55.145799,1500000,1583,2,3,Low,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
236,7453919,Motor City,25.046706,55.246714,629000,1051,1,1,Low,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
551,7582465,Old Town,25.189195,55.274878,1500000,1313,2,3,Medium,False,True,True,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
1778,7696898,Dubai Hills Estate,25.109367,55.247980000000005,1850000,1638,3,4,Medium,False,True,True,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False
1649,7686926,Business Bay,25.183515,55.26667,999000,696,1,1,Medium,False,True,True,False,True,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False
208,7428843,DIFC,25.212018,55.278772,2400000,2030,2,3,Low,False,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False
1319,7665124,Dubai Harbour,25.0967,55.139276,1483888,745,1,2,Medium,False,True,True,False,True,True,True,False,False,True,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,True,False
