idx,date,precipitation,temp_max,temp_min,wind,weather
0,12/23/2015,6.1,5,2.8,7.6,0
1,2/1/2014,2,7.8,2.8,0.8,0
2,7/21/2014,0,23.9,13.3,2.2,1
3,3/11/2013,1.3,10.6,6.1,1.1,0
4,9/21/2013,0,21.1,13.3,2.5,1
5,4/25/2015,1.3,13.3,5.6,3,0
6,1/23/2015,5.8,12.2,8.3,2.6,0
7,12/20/2014,19.6,12.8,6.7,5.5,0
8,6/7/2012,16.5,16.1,8.9,3.5,0
9,8/25/2014,0,28.9,14.4,2,1
10,6/13/2015,0,23.9,9.4,2.6,1
11,7/5/2013,0,23.3,13.9,2.6,1
12,5/12/2013,6.6,21.7,13.9,3.9,0
13,10/28/2014,12.7,15,9.4,3.9,0
14,6/16/2015,0,22.8,11.1,3,1
15,10/10/2014,0.3,18.3,10,3.8,0
16,8/4/2015,0,26.1,14.4,2.6,2
17,7/20/2013,0,25,13.3,2,1
18,9/2/2013,0,27.8,17.2,2.1,1
19,7/2/2015,0,33.9,17.8,3.4,1
20,6/17/2015,0,25,11.1,3.1,1
21,3/27/2014,0.3,12.2,6.7,2.8,0
22,3/14/2013,2.8,11.7,9.4,3,0
23,7/29/2014,0,30,15.6,2.8,1
24,4/6/2012,0.3,11.1,3.3,2.6,0
25,7/14/2013,0,27.8,12.8,3,1
26,3/28/2015,0,15.6,9.4,5.7,1
27,4/16/2013,0.3,13.9,3.3,2.6,0
28,10/1/2014,0,18.3,11.1,2.1,1
29,2/14/2013,1,9.4,5.6,2.2,0
30,8/21/2014,0,21.1,11.1,1.7,1
31,8/5/2013,0,30,15,2.1,1
32,6/5/2012,16,13.3,8.3,3.3,0
33,8/17/2013,0,25.6,17.2,3,1
34,9/9/2013,0,26.1,13.9,2.1,1
35,3/23/2013,0,10,1.1,2.6,1
36,4/20/2015,0,22.8,7.8,2.6,1
37,5/11/2014,0,18.9,8.3,1.7,1
38,10/7/2014,0,18.9,13.9,1,2
39,1/25/2013,3,10.6,2.8,2.1,0
40,11/10/2015,1.3,11.1,3.9,3.9,0
41,4/27/2014,6.9,11.1,6.1,5.8,0
42,7/8/2015,0,30,14.4,1.9,3
43,9/7/2013,0,23.3,17.2,2,1
44,9/5/2013,27.7,20,15.6,2.5,0
45,7/27/2015,0,23.3,12.2,1.9,2
46,5/1/2013,0,18.3,3.3,3.1,1
47,7/15/2013,0,27.8,14.4,4.6,1
48,11/4/2012,8.1,17.8,12.8,3.8,0
49,4/6/2013,12.7,12.2,7.2,5,0
50,2/16/2015,0,15,5.6,6.6,2
51,12/31/2013,0.5,8.3,5,1.7,0
52,3/1/2015,0,11.1,1.1,2.2,1
53,4/18/2015,0,18.9,8.3,3.9,1
54,12/1/2013,3,13.3,7.8,8.8,0
55,4/29/2014,0,25,9.4,2.3,1
56,6/14/2015,0,27.8,11.7,3.7,1
57,2/26/2014,0,13.9,5.6,2.5,1
58,12/18/2012,3.3,3.9,0.6,5.3,4
59,12/11/2013,0,5,-1.6,0.8,1
60,5/4/2012,1.8,12.2,6.1,4.6,0
61,6/27/2012,0,22.8,8.9,1.8,1
62,10/14/2012,16.5,17.8,13.3,3.4,0
63,11/8/2015,6.6,11.1,7.8,1.8,0
64,4/23/2015,3,12.2,6.7,4.1,0
65,10/21/2012,6.4,11.7,4.4,2.7,0
66,11/23/2012,32,9.4,6.1,2.4,0
67,12/27/2015,8.6,4.4,1.7,2.9,0
68,4/21/2014,5.1,17.2,7.8,2.5,0
